Order Date,Region,Category,Sub-Category,Customer Name,Sales,Profit,Discount,YearMonth,Profit Margin
2015-09-25,West,Furniture,Tables,Emily Burns,1044.63,240.2649,0.0,2015-09,0.22999999999999998
2016-01-16,West,Office Supplies,Binders,Eric Hoffmann,11.648,4.2224,0.2,2016-01,0.36250000000000004
2016-01-16,West,Technology,Accessories,Eric Hoffmann,90.57,11.7741,0.0,2016-01,0.13
2015-09-17,East,Furniture,Bookcases,Tracy Blumstein,3083.43,-1665.0522,0.5,2015-09,-0.54
2015-09-17,East,Office Supplies,Binders,Tracy Blumstein,9.618,-7.0532,0.7,2015-09,-0.7333333333333334
2015-09-17,East,Furniture,Furnishings,Tracy Blumstein,124.2,15.525,0.2,2015-09,0.125
2015-09-17,East,Office Supplies,Envelopes,Tracy Blumstein,3.264,1.1016,0.2,2015-09,0.3375
2015-09-17,East,Office Supplies,Art,Tracy Blumstein,86.304,9.7092,0.2,2015-09,0.11249999999999999
2015-09-17,East,Office Supplies,Binders,Tracy Blumstein,6.858,-5.715,0.7,2015-09,-0.8333333333333334
2015-09-17,East,Office Supplies,Art,Tracy Blumstein,15.76,3.546,0.2,2015-09,0.22499999999999998
2017-10-19,Central,Office Supplies,Paper,Matt Abelman,29.472,9.9468,0.2,2017-10,0.33749999999999997
2016-12-08,Central,Technology,Phones,Gene Hale,1097.544,123.4737,0.2,2016-12,0.11249999999999999
2016-12-08,Central,Furniture,Furnishings,Gene Hale,190.92,-147.963,0.6,2016-12,-0.775
2015-12-27,Central,Office Supplies,Envelopes,Steve Nguyen,113.328,35.415,0.2,2015-12,0.3125
2015-12-27,Central,Furniture,Bookcases,Steve Nguyen,532.3992,-46.9764,0.32,2015-12,-0.08823529411764706
2015-12-27,Central,Furniture,Chairs,Steve Nguyen,212.058,-15.147,0.3,2015-12,-0.07142857142857144
2015-12-27,Central,Technology,Phones,Steve Nguyen,371.168,41.7564,0.2,2015-12,0.1125
2017-09-10,Central,Technology,Phones,Linda Cazamias,147.168,16.5564,0.2,2017-09,0.11249999999999999
2016-07-17,West,Office Supplies,Storage,Ruben Ausman,77.88,3.894,0.0,2016-07,0.05
2017-09-19,South,Office Supplies,Storage,Erin Smith,95.616,9.5616,0.2,2017-09,0.1
2016-03-11,Central,Technology,Accessories,Odella Nelson,45.98,19.7714,0.0,2016-03,0.43000000000000005
2016-03-11,Central,Office Supplies,Binders,Odella Nelson,17.46,8.2062,0.0,2016-03,0.47000000000000003
2014-10-20,Central,Office Supplies,Storage,Patrick O'Donnell,211.96,8.4784,0.0,2014-10,0.04
2016-06-20,East,Technology,Accessories,Lena Hernandez,45.0,4.95,0.0,2016-06,0.11
2016-06-20,East,Technology,Phones,Lena Hernandez,21.8,6.104,0.0,2016-06,0.27999999999999997
2015-04-18,Central,Office Supplies,Binders,Darren Powers,38.22,17.9634,0.0,2015-04,0.47000000000000003
2015-04-18,Central,Office Supplies,Labels,Darren Powers,75.18,35.3346,0.0,2015-04,0.47
2015-04-18,Central,Furniture,Furnishings,Darren Powers,6.16,2.9568,0.0,2015-04,0.48
2015-04-18,Central,Furniture,Chairs,Darren Powers,89.99,17.0981,0.0,2015-04,0.19
2016-12-11,East,Office Supplies,Fasteners,Janet Molinari,15.26,6.2566,0.0,2016-12,0.41
2016-12-11,East,Technology,Phones,Janet Molinari,1029.95,298.6855,0.0,2016-12,0.29
2016-06-17,East,Office Supplies,Storage,Ted Butterfield,208.56,52.14,0.0,2016-06,0.25
2016-06-17,East,Office Supplies,Paper,Ted Butterfield,32.4,15.552,0.0,2016-06,0.48
2016-06-17,East,Furniture,Chairs,Ted Butterfield,319.41,7.098,0.1,2016-06,0.02222222222222222
2016-06-17,East,Office Supplies,Paper,Ted Butterfield,14.56,6.9888,0.0,2016-06,0.48
2016-06-17,East,Technology,Accessories,Ted Butterfield,30.0,3.3,0.0,2016-06,0.11
2016-06-17,East,Office Supplies,Binders,Ted Butterfield,48.48,16.362,0.2,2016-06,0.33749999999999997
2016-06-17,East,Office Supplies,Art,Ted Butterfield,1.68,0.84,0.0,2016-06,0.5
2015-11-24,West,Technology,Accessories,Kunst Miller,13.98,6.1512,0.0,2015-11,0.44
2015-11-24,West,Office Supplies,Binders,Kunst Miller,25.824,9.3612,0.2,2015-11,0.3625
2015-11-24,West,Office Supplies,Paper,Kunst Miller,146.73,68.9631,0.0,2015-11,0.47000000000000003
2015-11-24,West,Furniture,Furnishings,Kunst Miller,79.76,22.3328,0.0,2015-11,0.27999999999999997
2015-04-30,Central,Furniture,Chairs,Paul Stevenson,213.115,-15.2225,0.3,2015-04,-0.07142857142857142
2014-12-05,West,Office Supplies,Art,Brendan Sweed,1113.024,111.3024,0.2,2014-12,0.10000000000000002
2014-12-05,West,Technology,Phones,Brendan Sweed,167.968,62.988,0.2,2014-12,0.375
2016-06-04,South,Office Supplies,Paper,Karen Daniels,75.88,35.6636,0.0,2016-06,0.4700000000000001
2016-09-18,East,Office Supplies,Binders,Henry MacAllister,4.616,1.731,0.2,2016-09,0.37500000000000006
2017-09-14,Central,Office Supplies,Paper,Tracy Blumstein,19.05,8.763,0.0,2017-09,0.45999999999999996
2015-04-26,South,Furniture,Chairs,Joel Eaton,831.936,-114.3912,0.2,2015-04,-0.13749999999999998
2015-04-26,South,Furniture,Furnishings,Joel Eaton,97.04,1.213,0.2,2015-04,0.0125
2015-04-26,South,Office Supplies,Storage,Joel Eaton,72.784,-18.196,0.2,2015-04,-0.25
2017-12-09,Central,Office Supplies,Binders,Ken Brennan,1.248,-1.9344,0.8,2017-12,-1.5499999999999998
2017-12-09,Central,Furniture,Furnishings,Ken Brennan,9.708,-5.8248,0.6,2017-12,-0.6
2017-12-09,Central,Office Supplies,Storage,Ken Brennan,27.24,2.724,0.2,2017-12,0.10000000000000002
2014-11-26,Central,Furniture,Furnishings,Joel Eaton,19.3,-14.475,0.6,2014-11,-0.75
2016-06-12,South,Office Supplies,Appliances,Stewart Carmichael,208.16,56.2032,0.0,2016-06,0.27
2016-06-12,South,Office Supplies,Binders,Stewart Carmichael,16.74,8.0352,0.0,2016-06,0.48000000000000004
2014-10-12,West,Office Supplies,Art,Duane Noonan,14.9,4.172,0.0,2014-10,0.27999999999999997
2014-10-12,West,Office Supplies,Storage,Duane Noonan,21.39,6.2031,0.0,2014-10,0.29
2015-09-03,South,Office Supplies,Envelopes,Julie Creighton,200.984,62.8075,0.2,2015-09,0.3125
2017-11-13,Central,Office Supplies,Storage,Christopher Schild,230.376,-48.9549,0.2,2017-11,-0.2125
2017-05-28,South,Furniture,Chairs,Patrick O'Donnell,301.96,33.2156,0.0,2017-05,0.11000000000000001
2017-10-26,Central,Technology,Accessories,Paul Gonzalez,19.99,6.7966,0.0,2017-10,0.34
2017-10-26,Central,Office Supplies,Labels,Paul Gonzalez,6.16,2.9568,0.0,2017-10,0.48
2016-04-05,Central,Office Supplies,Storage,Gary Mitchum,158.368,13.8572,0.2,2016-04,0.08750000000000001
2016-09-17,West,Office Supplies,Art,Jim Sink,20.1,6.633,0.0,2016-09,0.32999999999999996
2016-09-17,West,Technology,Phones,Jim Sink,73.584,8.2782,0.2,2016-09,0.11249999999999999
2016-09-17,West,Office Supplies,Paper,Jim Sink,6.48,3.1104,0.0,2016-09,0.4799999999999999
2015-01-31,Central,Office Supplies,Paper,Karl Braun,12.96,6.2208,0.0,2015-01,0.4799999999999999
2015-01-31,Central,Furniture,Furnishings,Karl Braun,53.34,16.5354,0.0,2015-01,0.30999999999999994
2015-01-31,Central,Office Supplies,Binders,Karl Braun,32.96,16.1504,0.0,2015-01,0.49000000000000005
2017-11-06,West,Office Supplies,Binders,Roger Barcio,5.682,-3.788,0.7,2017-11,-0.6666666666666666
2017-11-09,East,Furniture,Furnishings,Parhena Norris,96.53,40.5426,0.0,2017-11,0.42
2017-06-17,West,Office Supplies,Binders,Katherine Ducich,51.312,17.9592,0.2,2017-06,0.35
2016-09-06,Central,Office Supplies,Appliances,Elpida Rittenbach,77.88,22.5852,0.0,2016-09,0.29000000000000004
2016-08-29,Central,Office Supplies,Paper,Rick Bensley,64.624,22.6184,0.2,2016-08,0.35000000000000003
2016-08-29,Central,Technology,Accessories,Rick Bensley,95.976,-10.7973,0.2,2016-08,-0.1125
2016-08-29,Central,Office Supplies,Binders,Rick Bensley,1.788,-3.0396,0.8,2016-08,-1.7
2016-12-01,Central,Office Supplies,Paper,Gary Zandusky,23.92,11.7208,0.0,2016-12,0.49
2015-11-13,West,Technology,Accessories,Lena Cacioppo,238.896,-26.8758,0.2,2015-11,-0.11250000000000002
2015-11-13,West,Furniture,Furnishings,Lena Cacioppo,102.36,-3.8385,0.2,2015-11,-0.0375
2015-11-13,West,Office Supplies,Binders,Lena Cacioppo,36.882,-25.8174,0.7,2015-11,-0.7000000000000001
2017-11-23,South,Technology,Accessories,Janet Martin,74.112,17.6016,0.2,2017-11,0.23750000000000004
2017-11-23,South,Technology,Phones,Janet Martin,27.992,2.0994,0.2,2017-11,0.075
2017-11-23,South,Office Supplies,Art,Janet Martin,3.304,1.0738,0.2,2017-11,0.32500000000000007
2015-10-15,Central,Technology,Accessories,Pete Armstrong,339.96,67.992,0.2,2015-10,0.20000000000000004
2017-12-25,East,Furniture,Furnishings,Cynthia Voltz,41.96,10.9096,0.0,2017-12,0.25999999999999995
2016-11-03,Central,Office Supplies,Art,Clay Ludtke,75.96,22.788,0.0,2016-11,0.30000000000000004
2016-11-03,Central,Office Supplies,Binders,Clay Ludtke,27.24,13.3476,0.0,2016-11,0.49000000000000005
2014-08-25,East,Office Supplies,Fasteners,Ryan Crowe,40.096,14.5348,0.2,2014-08,0.36250000000000004
2014-08-25,East,Office Supplies,Envelopes,Ryan Crowe,4.72,1.652,0.2,2014-08,0.35
2014-08-25,East,Office Supplies,Paper,Ryan Crowe,23.976,7.4925,0.2,2014-08,0.3125
2014-08-25,East,Office Supplies,Envelopes,Ryan Crowe,130.464,44.0316,0.2,2014-08,0.33749999999999997
2015-03-02,West,Furniture,Tables,Dave Kipp,787.53,165.3813,0.0,2015-03,0.21000000000000002
2015-04-05,South,Office Supplies,Binders,Greg Guthrie,157.794,-115.7156,0.7,2015-04,-0.7333333333333333
2016-06-12,East,Furniture,Furnishings,Steven Cartwright,47.04,18.3456,0.0,2016-06,0.39
2016-06-12,East,Office Supplies,Binders,Steven Cartwright,30.84,13.878,0.0,2016-06,0.45
2016-06-12,East,Office Supplies,Storage,Steven Cartwright,226.56,63.4368,0.0,2016-06,0.27999999999999997
2016-06-12,East,Office Supplies,Envelopes,Steven Cartwright,115.02,51.759,0.0,2016-06,0.45
2016-06-12,East,Technology,Phones,Steven Cartwright,68.04,19.7316,0.0,2016-06,0.29
2014-12-26,Central,Furniture,Chairs,Alan Dominguez,600.558,-8.5794,0.3,2014-12,-0.014285714285714285
2014-09-20,Central,Furniture,Tables,Philip Fox,617.7,-407.682,0.5,2014-09,-0.66
2017-11-05,West,Office Supplies,Binders,Troy Staebel,2.388,-1.8308,0.7,2017-11,-0.7666666666666667
2017-11-05,West,Office Supplies,Storage,Troy Staebel,243.992,30.499,0.2,2017-11,0.125
2016-11-06,West,Furniture,Chairs,Lindsay Shagiari,81.424,-9.1602,0.2,2016-11,-0.11249999999999999
2016-11-06,West,Furniture,Furnishings,Lindsay Shagiari,238.56,26.2416,0.0,2016-11,0.10999999999999999
2017-02-02,East,Technology,Phones,Dorothy Wardle,59.97,-11.994,0.4,2017-02,-0.2
2017-02-02,East,Office Supplies,Paper,Dorothy Wardle,78.304,29.364,0.2,2017-02,0.375
2017-02-02,East,Office Supplies,Fasteners,Dorothy Wardle,21.456,6.9732,0.2,2017-02,0.325
2016-10-13,West,Office Supplies,Paper,Lena Creighton,20.04,9.6192,0.0,2016-10,0.48
2016-10-13,West,Office Supplies,Paper,Lena Creighton,35.44,16.6568,0.0,2016-10,0.47000000000000003
2016-10-13,West,Office Supplies,Art,Lena Creighton,11.52,3.456,0.0,2016-10,0.3
2016-10-13,West,Office Supplies,Fasteners,Lena Creighton,4.02,1.9698,0.0,2016-10,0.49000000000000005
2016-10-13,West,Office Supplies,Binders,Lena Creighton,76.176,26.6616,0.2,2016-10,0.35
2016-10-13,West,Office Supplies,Supplies,Lena Creighton,65.88,18.4464,0.0,2016-10,0.28
2016-10-13,West,Furniture,Furnishings,Lena Creighton,43.12,20.6976,0.0,2016-10,0.48000000000000004
2016-09-05,East,Furniture,Furnishings,Jonathan Doherty,82.8,10.35,0.2,2016-09,0.125
2017-09-18,West,Office Supplies,Art,Sally Hughsby,8.82,2.3814,0.0,2017-09,0.27
2017-09-18,West,Office Supplies,Envelopes,Sally Hughsby,10.86,5.1042,0.0,2017-09,0.47
2017-09-18,West,Office Supplies,Paper,Sally Hughsby,143.7,68.976,0.0,2017-09,0.48000000000000004
2017-12-22,Central,Office Supplies,Appliances,Sandra Glassco,839.43,218.2518,0.0,2017-12,0.26
2015-09-07,West,Office Supplies,Storage,Helen Andreada,671.93,20.1579,0.0,2015-09,0.030000000000000006
2014-10-22,East,Furniture,Furnishings,Maureen Gastineau,93.888,12.9096,0.2,2014-10,0.13749999999999998
2016-12-05,Central,Technology,Phones,Justin Ellison,384.45,103.8015,0.0,2016-12,0.27
2016-12-05,Central,Technology,Phones,Justin Ellison,149.97,5.9988,0.0,2016-12,0.04
2016-12-05,Central,Furniture,Chairs,Justin Ellison,1951.84,585.552,0.0,2016-12,0.30000000000000004
2016-12-05,Central,Office Supplies,Binders,Justin Ellison,171.55,80.6285,0.0,2016-12,0.47
2016-03-13,West,Office Supplies,Appliances,Tamara Willingham,157.92,17.766,0.2,2016-03,0.1125
2016-03-13,West,Technology,Phones,Tamara Willingham,203.184,15.2388,0.2,2016-03,0.075
2015-05-31,West,Office Supplies,Paper,Stephanie Phelps,58.38,26.271,0.0,2015-05,0.45
2015-05-31,West,Office Supplies,Paper,Stephanie Phelps,105.52,48.5392,0.0,2015-05,0.46
2015-05-31,West,Office Supplies,Storage,Stephanie Phelps,80.88,21.0288,0.0,2015-05,0.26
2015-05-28,West,Office Supplies,Art,Neil Knudson,6.63,1.7901,0.0,2015-05,0.27
2014-03-01,West,Furniture,Chairs,Dave Brooks,457.568,51.4764,0.2,2014-03,0.1125
2016-11-20,Central,Office Supplies,Labels,Nora Paige,14.62,6.8714,0.0,2016-11,0.47000000000000003
2016-11-20,Central,Technology,Phones,Nora Paige,944.93,236.2325,0.0,2016-11,0.25
2016-05-11,West,Office Supplies,Paper,Ted Trevino,5.98,2.691,0.0,2016-05,0.44999999999999996
2015-12-28,East,Technology,Accessories,Eric Murdock,54.384,1.3596,0.2,2015-12,0.024999999999999998
2016-11-16,West,Office Supplies,Envelopes,Ruben Dartt,28.4,13.348,0.0,2016-11,0.47000000000000003
2016-11-07,West,Office Supplies,Binders,Max Jones,27.68,9.688,0.2,2016-11,0.35000000000000003
2014-09-08,Central,Office Supplies,Art,Becky Martin,9.936,2.7324,0.2,2014-09,0.275
2014-09-08,Central,Technology,Machines,Becky Martin,8159.952,-1359.992,0.4,2014-09,-0.16666666666666666
2014-09-08,Central,Office Supplies,Storage,Becky Martin,275.928,-58.6347,0.2,2014-09,-0.21250000000000002
2014-09-08,Central,Furniture,Chairs,Becky Martin,1740.06,-24.858,0.3,2014-09,-0.014285714285714287
2014-09-08,Central,Office Supplies,Art,Becky Martin,32.064,6.8136,0.2,2014-09,0.2125
2014-09-08,Central,Office Supplies,Appliances,Becky Martin,177.98,-453.849,0.8,2014-09,-2.5500000000000003
2014-09-08,Central,Technology,Phones,Becky Martin,143.976,8.9985,0.2,2014-09,0.0625
2014-08-05,West,Office Supplies,Paper,Chad Sievert,20.94,9.8418,0.0,2014-08,0.4699999999999999
2014-08-05,West,Office Supplies,Paper,Chad Sievert,110.96,53.2608,0.0,2014-08,0.48000000000000004
2014-08-05,West,Furniture,Chairs,Chad Sievert,340.144,21.259,0.2,2014-08,0.0625
2014-09-14,Central,Office Supplies,Appliances,Jennifer Braxton,52.448,-131.12,0.8,2014-09,-2.5
2014-09-14,Central,Office Supplies,Labels,Jennifer Braxton,20.16,6.552,0.2,2014-09,0.32499999999999996
2017-04-21,Central,Office Supplies,Appliances,Shirley Jackson,97.264,-243.16,0.8,2017-04,-2.5
2015-11-21,East,Furniture,Chairs,Joel Eaton,396.802,-11.3372,0.3,2015-11,-0.028571428571428567
2015-11-21,East,Office Supplies,Supplies,Joel Eaton,15.88,-3.7715,0.2,2015-11,-0.2375
2015-12-15,East,Office Supplies,Art,Jim Kriz,3.28,1.4104,0.0,2015-12,0.43000000000000005
2014-12-05,Central,Office Supplies,Storage,David Kendrick,24.816,1.8612,0.2,2014-12,0.075
2014-12-05,Central,Technology,Accessories,David Kendrick,408.744,76.6395,0.2,2014-12,0.18749999999999997
2014-11-19,South,Technology,Phones,Robert Marley,503.96,131.0296,0.0,2014-11,0.26
2014-11-19,South,Technology,Phones,Robert Marley,149.95,41.986,0.0,2014-11,0.28
2014-11-19,South,Technology,Accessories,Robert Marley,29.0,7.25,0.0,2014-11,0.25
2016-11-28,East,Office Supplies,Binders,Sally Knutson,7.16,3.4368,0.0,2016-11,0.48
2014-08-26,West,Technology,Accessories,Frank Merwin,176.8,22.984,0.0,2014-08,0.13
2016-07-16,Central,Office Supplies,Storage,Alice McCarthy,37.224,3.7224,0.2,2016-07,0.1
2016-07-16,Central,Office Supplies,Paper,Alice McCarthy,20.016,6.255,0.2,2016-07,0.3125
2015-10-12,East,Furniture,Bookcases,Mark Packer,899.136,112.392,0.2,2015-10,0.125
2015-10-12,East,Technology,Phones,Mark Packer,71.76,20.0928,0.0,2015-10,0.27999999999999997
2015-10-12,East,Office Supplies,Paper,Mark Packer,51.84,24.8832,0.0,2015-10,0.4799999999999999
2015-10-12,East,Furniture,Bookcases,Mark Packer,626.352,46.9764,0.2,2015-10,0.075
2015-10-12,East,Office Supplies,Art,Mark Packer,19.9,6.567,0.0,2015-10,0.33
2015-10-31,West,Office Supplies,Envelopes,Mary Zewe,14.28,6.7116,0.0,2015-10,0.47000000000000003
2014-03-21,East,Office Supplies,Art,Cassandra Brandow,7.408,1.2038,0.2,2014-03,0.16249999999999998
2014-03-21,East,Office Supplies,Art,Cassandra Brandow,6.048,1.5876,0.2,2014-03,0.26249999999999996
2017-11-06,East,Office Supplies,Storage,Valerie Mitchum,46.26,12.0276,0.0,2017-11,0.26
2017-07-06,East,Office Supplies,Binders,Fred Hopkins,2.946,-2.2586,0.7,2017-07,-0.7666666666666666
2017-07-06,East,Office Supplies,Paper,Fred Hopkins,16.056,5.8203,0.2,2017-07,0.36249999999999993
2017-06-24,East,Office Supplies,Paper,Maria Bertelson,21.744,6.795,0.2,2017-06,0.3125
2014-08-03,West,Furniture,Tables,Bruce Stewart,218.75,-161.875,0.5,2014-08,-0.74
2014-08-03,West,Office Supplies,Appliances,Bruce Stewart,2.6,0.2925,0.2,2014-08,0.11249999999999999
2017-12-17,Central,Office Supplies,Appliances,Logan Currie,66.284,-178.9668,0.8,2017-12,-2.6999999999999997
2017-06-03,South,Furniture,Furnishings,Heather Kirkland,35.168,9.6712,0.2,2017-06,0.275
2017-12-09,West,Technology,Phones,Laurel Elliston,444.768,44.4768,0.2,2017-12,0.1
2017-12-01,Central,Office Supplies,Storage,Joseph Holt,83.92,5.8744,0.0,2017-12,0.06999999999999999
2017-12-01,Central,Technology,Phones,Joseph Holt,131.98,35.6346,0.0,2017-12,0.27
2017-12-01,Central,Office Supplies,Binders,Joseph Holt,15.92,7.4824,0.0,2017-12,0.47000000000000003
2017-12-01,Central,Office Supplies,Fasteners,Joseph Holt,52.29,16.2099,0.0,2017-12,0.31000000000000005
2017-12-01,Central,Office Supplies,Storage,Joseph Holt,91.99,3.6796,0.0,2017-12,0.04000000000000001
2015-02-09,Central,Technology,Accessories,Michael Stewart,20.8,6.5,0.2,2015-02,0.3125
2015-01-02,East,Office Supplies,Labels,Victoria Wilson,23.68,8.88,0.2,2015-01,0.37500000000000006
2015-01-02,East,Furniture,Bookcases,Victoria Wilson,452.45,-244.323,0.5,2015-01,-0.54
2015-01-02,East,Technology,Phones,Victoria Wilson,62.982,-14.6958,0.4,2015-01,-0.23333333333333334
2015-01-02,East,Technology,Machines,Victoria Wilson,1188.0,-950.4,0.7,2015-01,-0.7999999999999999
2015-01-02,East,Technology,Accessories,Victoria Wilson,89.584,4.4792,0.2,2015-01,0.049999999999999996
2016-10-28,West,Office Supplies,Storage,Jonathan Howell,93.06,26.0568,0.0,2016-10,0.27999999999999997
2016-10-28,West,Technology,Phones,Jonathan Howell,302.376,22.6782,0.2,2016-10,0.07500000000000001
2015-12-24,East,Office Supplies,Fasteners,Joni Blumstein,5.584,1.8148,0.2,2015-12,0.325
2015-12-24,East,Office Supplies,Paper,Joni Blumstein,22.704,8.2302,0.2,2015-12,0.3625
2015-12-24,East,Office Supplies,Binders,Joni Blumstein,19.776,-13.8432,0.7,2015-12,-0.7
2015-12-24,East,Furniture,Furnishings,Joni Blumstein,72.704,19.0848,0.2,2015-12,0.26250000000000007
2015-12-24,East,Technology,Machines,Joni Blumstein,479.988,-383.9904,0.7,2015-12,-0.8
2015-12-24,East,Office Supplies,Art,Joni Blumstein,27.168,2.7168,0.2,2015-12,0.1
2015-08-09,Central,Office Supplies,Art,David Smith,2.2,0.968,0.0,2015-08,0.43999999999999995
2015-08-09,Central,Furniture,Tables,David Smith,622.45,136.939,0.0,2015-08,0.21999999999999997
2015-08-09,Central,Office Supplies,Storage,David Smith,21.98,0.2198,0.0,2015-08,0.01
2015-02-28,South,Furniture,Chairs,Valerie Dominguez,161.568,-28.2744,0.2,2015-02,-0.175
2015-02-28,South,Furniture,Chairs,Valerie Dominguez,389.696,43.8408,0.2,2015-02,0.1125
2014-09-13,South,Office Supplies,Binders,Erin Ashbrook,18.648,-12.432,0.7,2014-09,-0.6666666666666667
2017-04-07,South,Furniture,Tables,Christopher Schild,233.86,-102.048,0.45,2017-04,-0.43636363636363634
2017-04-07,South,Furniture,Tables,Christopher Schild,620.6145,-248.2458,0.45,2017-04,-0.39999999999999997
2017-04-07,South,Office Supplies,Binders,Christopher Schild,5.328,-3.552,0.7,2017-04,-0.6666666666666666
2017-04-07,South,Furniture,Furnishings,Christopher Schild,258.072,0.0,0.2,2017-04,0.0
2017-04-07,South,Technology,Accessories,Christopher Schild,617.976,-7.7247,0.2,2017-04,-0.0125
2017-11-12,West,Office Supplies,Paper,David Bremer,10.56,4.752,0.0,2017-11,0.44999999999999996
2016-06-04,Central,Office Supplies,Paper,Ken Lonsdale,25.92,9.396,0.2,2016-06,0.3625
2016-06-04,Central,Furniture,Furnishings,Ken Lonsdale,419.68,-356.728,0.6,2016-06,-0.85
2016-06-04,Central,Furniture,Furnishings,Ken Lonsdale,11.688,-4.6752,0.6,2016-06,-0.4
2016-06-04,Central,Technology,Phones,Ken Lonsdale,31.984,11.1944,0.2,2016-06,0.35
2016-06-04,Central,Furniture,Tables,Ken Lonsdale,177.225,-120.513,0.5,2016-06,-0.68
2016-06-04,Central,Furniture,Furnishings,Ken Lonsdale,4.044,-2.8308,0.6,2016-06,-0.7000000000000001
2016-06-04,Central,Office Supplies,Art,Ken Lonsdale,7.408,1.2038,0.2,2016-06,0.16249999999999998
2014-06-01,Central,Furniture,Chairs,Dianna Wilson,2001.86,580.5394,0.0,2014-06,0.29000000000000004
2014-06-01,Central,Office Supplies,Storage,Dianna Wilson,166.72,41.68,0.0,2014-06,0.25
2014-06-01,Central,Office Supplies,Paper,Dianna Wilson,47.88,23.94,0.0,2014-06,0.5
2014-06-01,Central,Office Supplies,Appliances,Dianna Wilson,1503.25,496.0725,0.0,2014-06,0.33
2014-06-01,Central,Office Supplies,Paper,Dianna Wilson,25.92,12.4416,0.0,2014-06,0.4799999999999999
2016-12-10,West,Furniture,Chairs,Logan Haushalter,321.568,28.1372,0.2,2016-12,0.08750000000000001
2016-09-11,West,Office Supplies,Paper,Kelly Collister,7.61,3.5767,0.0,2016-09,0.47000000000000003
2016-09-11,West,Technology,Accessories,Kelly Collister,3347.37,636.0003,0.0,2016-09,0.19000000000000003
2016-12-10,East,Office Supplies,Storage,Delfina Latchford,80.58,22.5624,0.0,2016-12,0.28
2016-12-10,East,Office Supplies,Envelopes,Delfina Latchford,361.92,162.864,0.0,2016-12,0.45
2015-11-28,Central,Furniture,Furnishings,Dan Reichenbach,12.132,-8.4924,0.6,2015-11,-0.7000000000000001
2015-11-28,Central,Office Supplies,Storage,Dan Reichenbach,82.368,-19.5624,0.2,2015-11,-0.23750000000000002
2015-11-28,Central,Office Supplies,Storage,Dan Reichenbach,53.92,4.044,0.2,2015-11,0.07499999999999998
2015-11-28,Central,Technology,Phones,Dan Reichenbach,647.904,56.6916,0.2,2015-11,0.08750000000000001
2017-12-01,East,Technology,Accessories,Craig Carreira,20.37,6.9258,0.0,2017-12,0.33999999999999997
2017-12-01,East,Office Supplies,Storage,Craig Carreira,221.55,6.6465,0.0,2017-12,0.029999999999999995
2017-12-01,East,Office Supplies,Binders,Craig Carreira,17.52,6.132,0.2,2017-12,0.35
